s,vout
0,0.00024404301822741046
2.5E-08,0.00023333136670431438
3.75443730907451E-08,0.00022489350402309194
6.26331192722353E-08,0.00020186598124905542
1.1281061163521569E-07,0.00012522799025130592
1.8504777580354443E-07,-1.8014102344268552E-05
2.5830363426983026E-07,-0.00015357974095039356
3.4197894217800664E-07,-0.00027248885318552395
4.5178980295901364E-07,-0.00040898969488758374
5.843363469561828E-07,-0.0005923905274036628
7.298104957924358E-07,-0.0008042557312361472
9.55603820104642E-07,-0.0011160874023931461
1.1928800981185368E-06,-0.0014485741387274332
1.6674326541463266E-06,-0.0021267503215340504
2.4055225726500383E-06,-0.0031787168791293937
3.180730951310004E-06,-0.004293545728470856
4.587938960395129E-06,-0.006306832400302103
6.5862576735882864E-06,-0.009172362279701892
9.086257673588286E-06,-0.012749694851938356
1.1586257673588286E-05,-0.016330969228455332
1.4086257673588286E-05,-0.019905940362933798
1.6586257673588284E-05,-0.023483481039391227
1.9086257673588284E-05,-0.027054989527106162
2.1586257673588283E-05,-0.03062755280497183
2.4086257673588283E-05,-0.03419433494750049
2.6586257673588283E-05,-0.037760661509814275
2.9086257673588283E-05,-0.041321435675180276
3.158625767358828E-05,-0.044880278789409686
3.408625767358828E-05,-0.04843375450492365
3.658625767358828E-05,-0.051983879613994755
3.908625767358828E-05,-0.05552876048198171
4.158625767358828E-05,-0.05906894356991673
4.408625767358828E-05,-0.06260392983674844
4.658625767358828E-05,-0.06613295581558369
4.908625767358828E-05,-0.06965674683214326
5.158625767358828E-05,-0.07317340803694809
5.408625767358828E-05,-0.07668470458763206
5.658625767358828E-05,-0.08018779941700542
5.908625767358828E-05,-0.08368530588400266
6.158625767358828E-05,-0.08717363761701868
6.408625767358829E-05,-0.09065606395209183
6.658625767358829E-05,-0.09412843976538367
6.90862576735883E-05,-0.09759450324917165
7.15862576735883E-05,-0.10104973344972189
7.408625767358831E-05,-0.10449816022675171
7.658625767358832E-05,-0.10793505770792167
7.908625767358833E-05,-0.11136458409329904
8.158625767358833E-05,-0.11478196401419753
8.408625767358834E-05,-0.11819133757496283
8.658625767358835E-05,-0.12158801725668315
8.908625767358835E-05,-0.1249759976769241
9.158625767358836E-05,-0.1283507967035844
9.408625767358837E-05,-0.1317161564474666
9.658625767358837E-05,-0.1350678969554401
9.908625767358838E-05,-0.13840942174634044
0.00010158625767358838,-0.14173692888156753
0.00010408625767358839,-0.14505341801848304
0.0001065862576735884,-0.1483555205392733
0.0001090862576735884,-0.15164578707366114
0.00011158625767358841,-0.15492131807489282
0.00011408625767358842,-0.15818418887215205
0.00011658625767358842,-0.16143198660615296
0.00011908625767358843,-0.16466630231617194
0.00012158625767358844,-0.16788521108574186
0.00012408625767358844,-0.17108982604640008
0.00012658625767358845,-0.17427869714630617
0.00012908625767358846,-0.17745247924264912
0.00013158625767358846,-0.18061017192736806
0.00013408625767358847,-0.18375200242748882
0.00013658625767358848,-0.18687738488487982
0.00013908625767358848,-0.18998615827144089
0.0001415862576735885,-0.19307810858429222
0.0001440862576735885,-0.1961527323982376
0.0001465862576735885,-0.19921013947812494
0.0001490862576735885,-0.20224953418855426
0.00015158625767358852,-0.20527129866908636
0.00015408625767358852,-0.20827439758060057
0.00015658625767358853,-0.21125943265979683
0.00015908625767358854,-0.21422518186596565
0.00016158625767358854,-0.21717241409015398
0.00016408625767358855,-0.22009977247916782
0.00016658625767358856,-0.22300814246330136
0.00016908625767358856,-0.22589608177943948
0.00017158625767358857,-0.22876454486108838
0.00017408625767358858,-0.2316120498233851
0.00017658625767358858,-0.23443957664978576
0.0001790862576735886,-0.2372456451272818
0.0001815862576735886,-0.24003122217669895
0.0001840862576735886,-0.24279486541792442
0.0001865862576735886,-0.2455374954581868
0.00018908625767358861,-0.24825773837107143
0.00019158625767358862,-0.25095644085944446
0.00019408625767358863,-0.25363232233669175
0.00019658625767358863,-0.2562861337662786
0.00019908625767358864,-0.25891670705036074
0.00020158625767358865,-0.2615246812489545
0.00020408625767358865,-0.2641090143302984
0.00020658625767358866,-0.2666702227180779
0.00020908625767358867,-0.2692073987596668
0.00021158625767358867,-0.2717209305723473
0.00021408625767358868,-0.2742100483538698
0.0002165862576735887,-0.2766750108379133
0.0002190862576735887,-0.27911518521270057
0.0002215862576735887,-0.28153070379899
0.0002240862576735887,-0.2839210661572717
0.0002265862576735887,-0.28628628461928973
0.00022908625767358872,-0.2886259833517428
0.00023158625767358873,-0.29094006395379407
0.00023408625767358873,-0.29322826490991283
0.00023658625767358874,-0.2954903885503271
0.00023908625767358875,-0.29772627548679514
0.00024158625767358875,-0.2999356418403801
0.00024408625767358876,-0.30211841685531543
0.00024658625767358877,-0.3042742445186101
0.00024908625767358877,-0.30640312846829726
0.0002515862576735888,-0.30850465511044456
0.0002540862576735888,-0.31057888800589545
0.0002565862576735888,-0.3126253705272297
0.0002590862576735888,-0.31464421190863573
0.0002615862576735888,-0.31663492660838455
0.0002640862576735888,-0.3185976558962023
0.0002665862576735888,-0.3205318986500481
0.0002690862576735888,-0.32243781547209366
0.00027158625767358883,-0.3243149019197449
0.00027408625767358884,-0.3261633264142358
0.00027658625767358884,-0.32798259215663655
0.00027908625767358885,-0.3297728652516137
0.00028158625767358886,-0.3315336660569597
0.00028408625767358886,-0.3332651497269445
0.00028658625767358887,-0.3349668617443136
0.0002890862576735889,-0.3366389392453865
0.0002915862576735889,-0.33828095922448637
0.0002940862576735889,-0.339893035309235
0.0002965862576735889,-0.3414747808245653
0.0002990862576735889,-0.34302628193853346
0.0003015862576735889,-0.3445471916161167
0.0003040862576735889,-0.346037566077489
0.0003065862576735889,-0.34749709982225524
0.00030908625767358893,-0.348925817986562
0.00031158625767358894,-0.3503234572084664
0.00031408625767358894,-0.3516900116200702
0.00031658625767358895,-0.35302525945706786
0.00031908625767358896,-0.3543291649891329
0.00032158625767358896,-0.3556015465252363
0.00032408625767358897,-0.3568423405097622
0.000326586257673589,-0.3580514029865368
0.000329086257673589,-0.3592286453359026
0.000331586257673589,-0.3603739583559193
0.000334086257673589,-0.36148723167721203
0.000336586257673589,-0.3625683873981602
0.000339086257673589,-0.36361729710137025
0.000341586257673589,-0.3646339104197391
0.000344086257673589,-0.3656180848207154
0.00034658625767358903,-0.3665697935441427
0.00034908625767358903,-0.36748888396299734
0.00035158625767358904,-0.3683753489706034
0.00035408625767358905,-0.36922902982606315
0.00035658625767358905,-0.37004993521627155
0.00035908625767358906,-0.3708379041162858
0.00036158625767358907,-0.37159295734182457
0.0003640862576735891,-0.37231493517056824
0.0003665862576735891,-0.3730038671605162
0.0003690862576735891,-0.3736595981617697
0.0003715862576735891,-0.37428216343065884
0.0003740862576735891,-0.37487141528741186
0.0003765862576735891,-0.3754273920315354
0.0003790862576735891,-0.37594995594154457
0.0003815862576735891,-0.37643914612272533
0.0003840862576735891,-0.37689483686966485
0.00038658625767358913,-0.3773170662868291
0.00038908625767358914,-0.37770572230659905
0.00039158625767358915,-0.3780608406555685
0.00039408625767358915,-0.37838232409727895
0.00039658625767358916,-0.3786702050192367
0.00039908625767358917,-0.3789244018003499
0.00040158625767358917,-0.3791449429194674
0.0004040862576735892,-0.379331762774577
0.0004065862576735892,-0.37948488572529093
0.0004090862576735892,-0.37960426224801347
0.0004115862576735892,-0.3796899126924431
0.0004140862576735892,-0.3797418033699261
0.0004165862576735892,-0.3797599510058938
0.0004190862576735892,-0.3797443372454671
0.0004215862576735892,-0.37969497580555833
0.00042408625767358923,-0.3796118629531056
0.00042658625767358924,-0.37949501019516557
0.00042908625767358924,-0.3793444275448352
0.00043158625767358925,-0.3791601252342478
0.00043408625767358926,-0.3789421260291824
0.00043658625767358926,-0.3786904399132349
0.00043908625767358927,-0.3784051013370522
0.0004415862576735893,-0.37808612111162954
0.0004440862576735893,-0.37773354427044536
0.0004465862576735893,-0.37734738353925057
0.0004490862576735893,-0.3769276934341005
0.0004515862576735893,-0.37647448966054786
0.0004540862576735893,-0.37598783515010104
0.0004565862576735893,-0.37546774960197526
0.0004590862576735893,-0.3749143033555112
0.00046158625767358933,-0.3743275210424449
0.00046408625767358934,-0.37370747948308924
0.00046658625767358934,-0.3730542090868781
0.00046908625767358935,-0.37236779232514866
0.00047158625767358936,-0.37164826612287843
0.00047408625767358936,-0.37089571788062203
0.00047658625767358937,-0.370110191660563
0.0004790862576735894,-0.36929177918540323
0.0004815862576735894,-0.3684405321556035
0.0004840862576735894,-0.36755654612603034
0.0004865862576735894,-0.3666398808155229
0.0004890862576735894,-0.36569063523678996
0.0004915862576735894,-0.36470887738931795
0.0004940862576735894,-0.3636947094803151
0.0004965862576735894,-0.3626482079404766
0.0004990862576735894,-0.36156947801175277
0.0005015862576735894,-0.36045860460346874
0.0005040862576735894,-0.35931569592659474
0.0005065862576735894,-0.35814084532380275
0.0005090862576735895,-0.3569341639922484
0.0005115862576735895,-0.3556957535817387
0.0005140862576735895,-0.3544257283634438
0.0005165862576735895,-0.35312419809976475
0.0005190862576735895,-0.3517912802815724
0.0005215862576735895,-0.35042709253394416
0.0005240862576735895,-0.3490317557580574
0.0005265862576735895,-0.34760539514925193
0.0005290862576735895,-0.34614813524186044
0.0005315862576735895,-0.3446601084790206
0.0005340862576735895,-0.34314144327123625
0.0005365862576735895,-0.34159227896862726
0.0005390862576735895,-0.3400127481098506
0.0005415862576735895,-0.33840299660355166
