s,vout
0,14.852810554132676
2.5E-08,14.852810533485268
5E-08,14.852810535134163
1E-07,14.852810523046088
2E-07,14.852810498398984
4E-07,14.852810079466588
8E-07,14.852807188118657
1.6E-06,14.852792994332537
3.2E-06,14.8527306508362
4.823613013039909E-06,14.852620839846551
7.323613013039909E-06,14.852360327213416
9.823613013039909E-06,14.851989283768313
1.2323613013039909E-05,14.851508339438501
1.4823613013039908E-05,14.850918221326248
1.732361301303991E-05,14.850219900014364
1.982361301303991E-05,14.487994585754649
2.232361301303991E-05,13.622473834843348
2.482361301303991E-05,12.62362102276974
2.732361301303991E-05,11.513021265287529
2.982361301303991E-05,10.29804958411905
3.232361301303991E-05,8.982048966414204
3.482361301303991E-05,7.56758103781758
3.732361301303991E-05,6.0568810586014985
3.982361301303991E-05,4.452418995023286
4.232361301303991E-05,2.756615902415805
4.482361301303991E-05,0.972196563320985
4.732361301303991E-05,-0.8981479448296329
4.982361301303991E-05,-2.851426745909084
5.232361301303991E-05,-4.884688266288318
5.4823613013039906E-05,-6.994691347241798
5.7323613013039906E-05,-9.178242061733473
5.9823613013039906E-05,-11.431868270331982
6.232361301303991E-05,-13.752153857652393
6.482361301303992E-05,-14.993515321324026
6.513611301303992E-05,-14.982350183035395
6.576111301303992E-05,-14.982987138986585
6.591736301303992E-05,-14.983151243193394
6.622986301303992E-05,-14.983470586132032
6.630798801303991E-05,-14.983550184376224
6.64642380130399E-05,-14.983709306171995
6.65033005130399E-05,-14.983749049091928
6.65045212161649E-05,-14.983750341012621
6.65069626224149E-05,-14.983752725551623
6.65075729739774E-05,-14.983752997766782
6.65087936771024E-05,-14.983754910900707
6.651041496221646E-05,-14.983756447052343
6.651222640059829E-05,-14.983746767596093
6.651243117258402E-05,-14.983744485758978
6.651284071655548E-05,-14.983740394740103
6.651365980449842E-05,-14.982380314884223
6.65152979803843E-05,-14.983268505193172
6.651644532119192E-05,-14.984020051496826
6.65170063572527E-05,-14.983567138832363
6.651754574520128E-05,-14.983784836465198
6.651812723153049E-05,-14.983685558442556
6.651881018842734E-05,-14.98373982339774
6.651953300194507E-05,-14.983714681189916
6.652021640611077E-05,-14.983731602881845
6.652088017953857E-05,-14.983726226005762
6.652154315825069E-05,-14.983732633533092
6.65222213933595E-05,-14.983730765754624
6.652298188637408E-05,-14.983736024786738
6.652400415729024E-05,-14.983735741849987
6.652531120433279E-05,-14.98374067542168
6.652716086569915E-05,-14.983742385158651
6.652749702640728E-05,-14.983744632286184
6.652816934782355E-05,-14.983744875592294
6.65295139906561E-05,-14.983747353738165
6.65307750721594E-05,-14.983743704305498
6.653197298856677E-05,-14.983736793590996
6.653217589764765E-05,-14.983654405231182
6.653222662491787E-05,-14.983356072206176
6.653232807945831E-05,-14.976902142101137
6.65325309885392E-05,-14.974241969954232
6.653282663461012E-05,-14.985553329691655
6.653316140454661E-05,-14.983230046840868
6.65335152832354E-05,-14.98383538775351
6.6534223040613E-05,-14.983632924227328
6.653500328446154E-05,-14.98375268455149
6.653563280689529E-05,-14.983688242698953
6.653630761616164E-05,-14.983726475190856
6.653695121858064E-05,-14.983708057793004
6.65376565221352E-05,-14.983721374748292
6.653832030393449E-05,-14.983717173773254
6.653900809551723E-05,-14.983722446119264
6.653966786941305E-05,-14.983721198946917
6.654035225278374E-05,-14.983723451188482
6.654126371890538E-05,-14.983726103561443
6.65424172697191E-05,-14.98372710884678
6.654401608315002E-05,-14.983730967688938
6.654622414925337E-05,-14.983733323599953
6.654991375754428E-05,-14.983739378821308
6.65570951404974E-05,-14.983747028279215
6.655889048623569E-05,-14.983749348458495
6.656248117771225E-05,-14.98375336302707
6.656584872807907E-05,-14.983741413798857
6.656624858766273E-05,-14.983738220898172
6.656634855255864E-05,-14.98373855296874
6.656654848235048E-05,-14.983735763239666
6.656694834193414E-05,-14.983708277315644
6.656704830683005E-05,-14.982698944091013
6.656724823662189E-05,-14.952641297036005
6.656764809620556E-05,-14.953978108944346
6.656802598217217E-05,-14.992701782299646
6.656840933191347E-05,-14.980619385780722
6.656885789475443E-05,-14.984656928746269
6.656954657670441E-05,-14.982919740689045
6.657032286609899E-05,-14.983912523503678
6.65710260510357E-05,-14.98334515913743
6.6571673753356E-05,-14.983661978161425
6.657232429591137E-05,-14.983497952320896
6.657300299560995E-05,-14.98359188123063
6.657368694063068E-05,-14.983544329955217
6.65743652613458E-05,-14.983574539324723
6.657503630952043E-05,-14.983561716061896
6.657580036598496E-05,-14.983572051232866
6.657682174471155E-05,-14.98356911346908
6.657814552205736E-05,-14.983576880087716
6.657999989302762E-05,-14.983576975847011
6.658272490700101E-05,-14.983584557434854
6.658762107186522E-05,-14.98358866182021
6.659741340159364E-05,-14.983602683704886
6.661699806105049E-05,-14.983620420620209
6.665616737996418E-05,-14.983662689946607
6.673450601779158E-05,-14.983739814907898
6.673695410022369E-05,-14.983743446031879
6.67418502650879E-05,-14.983748588366126
6.674307430630396E-05,-14.983749657056142
6.674552238873607E-05,-14.983752305411851
6.674613440934409E-05,-14.983752984798665
6.674735845056014E-05,-14.983754000425524
6.674766446086415E-05,-14.983753958853374
6.674827648147218E-05,-14.983755249366055
6.674908934075857E-05,-14.98375604987051
6.674999753662991E-05,-14.983752847155564
6.675081886436489E-05,-14.983746084291152
6.675097703932535E-05,-14.983744160118317
6.675129338924626E-05,-14.983741505377791
6.675137247672649E-05,-14.983742122160868
6.675153065168695E-05,-14.983739330953739
6.675184700160786E-05,-14.961327737087656
6.675241215575716E-05,-14.967357348553444
6.675297122092591E-05,-14.991262065360972
6.67534152193415E-05,-14.980625520674499
6.675393217708483E-05,-14.98487470280035
6.67546294256094E-05,-14.982846702838627
6.675537999128537E-05,-14.983999454401616
6.67560712129164E-05,-14.983347026925541
6.675672401795279E-05,-14.983708592681285
6.675738199611853E-05,-14.983519163993494
6.675806082192928E-05,-14.983625449168013
6.675874242588985E-05,-14.983570483587094
6.675941932487589E-05,-14.983603691582662
6.676009117864236E-05,-14.983589358152406
6.67610077282127E-05,-14.983599688565725
6.67621392735011E-05,-14.983597543974396
6.676374607325734E-05,-14.983603963511678
6.676591340027869E-05,-14.98360461022535
6.676959683425858E-05,-14.983612486098291
6.677656684898738E-05,-14.98361869763413
6.6790506878445E-05,-14.983635568834949
6.68183869373602E-05,-14.98366198446948
6.687414705519063E-05,-14.983720433759395
6.688808708464824E-05,-14.983733684957473
6.689157209201263E-05,-14.983737190516779
6.689854210674144E-05,-14.983744272336475
6.690028461042363E-05,-14.98374596002764
6.690376961778803E-05,-14.983749637492684
6.690464086962913E-05,-14.983750525898792
6.690638337331133E-05,-14.98375216807796
6.690986838067572E-05,-14.983755770898519
6.691313681465375E-05,-14.983737028604734
6.691352490525408E-05,-14.983732575013947
6.691430108645474E-05,-14.982840233722346
6.691432534211725E-05,-14.982529343458646
6.69143738534423E-05,-14.980722386771406
6.691447087609238E-05,-14.967862224015992
6.69144951317549E-05,-14.963262916442035
6.691454364307994E-05,-14.955985549095045
6.691464066573002E-05,-14.949520627764505
6.691483471103018E-05,-14.965221431978703
6.6915129167424E-05,-14.987139423363455
6.691546668844918E-05,-14.982658871439979
6.691581998301089E-05,-14.983841616960413
6.69165265721343E-05,-14.983445778570463
6.691730647984154E-05,-14.983681145881581
6.6917936233412E-05,-14.98355649494992
6.691861137363417E-05,-14.983627243248103
6.691925492755555E-05,-14.983594988502515
6.691996014825124E-05,-14.98361771119155
6.692062386206077E-05,-14.983609655441608
6.692131171052992E-05,-14.983618486635882
6.692197149248079E-05,-14.983617481013226
6.692265589022183E-05,-14.983621255239647
6.692355439057626E-05,-14.983622834535728
6.6924698659807E-05,-14.983627137364598
6.69262729459612E-05,-14.983629563538312
6.692845351282295E-05,-14.983635160522802
6.693205242004658E-05,-14.983640318020438
6.693902208681221E-05,-14.983650454835407
6.695296142034349E-05,-14.983664937702468
6.698084008740604E-05,-14.983694186889354
6.703659742153115E-05,-14.983749788023475
6.703833983822256E-05,-14.983752086341228
6.704182467160539E-05,-14.983755495194888
6.704509294245326E-05,-14.983737103594912
6.704548101368253E-05,-14.98373292132071
6.704625715614108E-05,-14.983012771764862
6.70463926001939E-05,-14.972454319780644
6.704666348829956E-05,-14.974448539807048
6.704705699099806E-05,-14.986690384303985
6.704743955231399E-05,-14.982708798292933
6.70478438065669E-05,-14.983993517864294
6.70485653890403E-05,-14.983488086741044
6.704932483436289E-05,-14.98378415926138
6.704995571757332E-05,-14.983624759066782
6.705062731367375E-05,-14.98371318044281
6.705127899611987E-05,-14.983670227845082
6.705197999751782E-05,-14.98369694536738
6.705264603200805E-05,-14.98368640693668
6.705333037605634E-05,-14.983695872928658
6.705399287981773E-05,-14.98369409428446
6.70547321684656E-05,-14.983698221087426
6.705571469928057E-05,-14.98369933886719
6.705698556367721E-05,-14.983703965971548
6.705874887575464E-05,-14.98370629020246
6.706129926249968E-05,-14.98371217393442
6.706574814617413E-05,-14.983717906889437
6.707464591352303E-05,-14.983729913584291
6.70924414482208E-05,-14.983747682330177
6.709689033189525E-05,-14.983752648264478
6.710578809924415E-05,-14.983718383145838
6.710591866685812E-05,-14.983717712531169
6.710617980208607E-05,-14.983562112234042
6.710624508589305E-05,-14.982650215911809
6.710637565350702E-05,-14.97242516884724
6.71064082954105E-05,-14.968132940066118
6.710647357921749E-05,-14.96189331344431
6.710660414683146E-05,-14.958042256707595
6.71068652820594E-05,-14.972583161705113
6.710721330779227E-05,-14.98658680936878
6.710758000478195E-05,-14.982697659568716
6.710797532549209E-05,-14.983888899753918
6.710876596691237E-05,-14.983422558466485
6.710949947602132E-05,-14.983706820169488
6.711010787193652E-05,-14.98355850308351
6.711076925662312E-05,-14.983642205546673
6.711143566164309E-05,-14.983601632896356
6.711213792219742E-05,-14.983630248676404
6.711280555192724E-05,-14.983619099393664
6.711348403259706E-05,-14.983629939996101
6.71141485805136E-05,-14.983628122152673
6.71148604040954E-05,-14.983633255693917
6.71158277352013E-05,-14.983634593702
6.711704837880842E-05,-14.983639392654643
6.711876579727147E-05,-14.983642994801588
6.71211753579632E-05,-14.983648512006162
6.712537464720428E-05,-14.98365537478903
6.713377322568645E-05,-14.983666939128257
6.71505703826508E-05,-14.983684508138001
6.71841646965795E-05,-14.983718978682576
6.719256327506166E-05,-14.983727269334054
6.720936043202601E-05,-14.983744274435804
6.721355972126709E-05,-14.983748591865604
6.721460954357737E-05,-14.983749615366394
6.721670918819791E-05,-14.983751733179744
6.721723409935305E-05,-14.98375181317219
6.721828392166333E-05,-14.983753637326208
6.722038356628387E-05,-14.983755454033814
6.722235272978673E-05,-14.983746107756227
6.722258654630511E-05,-14.983744219100648
6.722305417934186E-05,-14.983738868419083
6.722317108760104E-05,-14.983738929230483
6.722340490411942E-05,-14.983735343794695
6.722387253715616E-05,-14.979885990693989
6.722466254298351E-05,-14.98161991068167
6.72254077625281E-05,-14.984893392072452
6.722589333929712E-05,-14.983194622071458
6.722646558662876E-05,-14.983943312508446
6.722717925183382E-05,-14.983565520061243
6.722790583557067E-05,-14.983784420895331
6.722858792901172E-05,-14.983665199836826
6.722924173945951E-05,-14.983734886694547
6.722990814744179E-05,-14.983700360308058
6.723058602157546E-05,-14.983721028168535
6.723126705345877E-05,-14.983714159706405
6.723194148485594E-05,-14.98372026939334
6.723272091266089E-05,-14.98371965105682
6.723375336642285E-05,-14.983724321662844
6.723510542451919E-05,-14.983724799338132
6.723699352325755E-05,-14.983730560307393
6.723980881271145E-05,-14.983733029402712
6.724489316303154E-05,-14.98374213303066
6.725506186367172E-05,-14.983751859094829
6.725537963556672E-05,-14.98375356723484
6.725601517935674E-05,-14.983753686376204
6.725661122762623E-05,-14.983752817154016
6.725717742106819E-05,-14.98375035814756
6.725781025369824E-05,-14.983744996610557
6.725848052853698E-05,-14.980052528487365
6.725982107821445E-05,-14.982265335408604
6.726083781814535E-05,-14.984646037588336
6.726137315305805E-05,-14.983254566821707
6.726201107191398E-05,-14.983924820084468
6.726259842736537E-05,-14.98358374524765
6.726325019847227E-05,-14.983759479505355
6.726395457916693E-05,-14.983666762919514
6.726464674411291E-05,-14.983721895087942
6.726531868589529E-05,-14.983694442473428
6.726598333921468E-05,-14.983711285750925
6.726665717186684E-05,-14.983705131483095
6.726734439196284E-05,-14.983710382743046
6.726831020599718E-05,-14.983709654855664
6.726948697516785E-05,-14.983714323958074
6.727118617442193E-05,-14.98371446165984
6.727348800616595E-05,-14.98372039009052
6.727755700811968E-05,-14.983723465241166
6.728553011653326E-05,-14.983734837695744
6.730147633336041E-05,-14.983749280058898
6.730546288756719E-05,-14.983754425738317
6.731343599598077E-05,-14.983712415421392
6.731355299496293E-05,-14.983710737632336
6.731378699292724E-05,-14.98370839099446
6.731425498885588E-05,-14.97250622283927
6.731486888948822E-05,-14.977299679272276
6.731550327320054E-05,-14.986912590718294
6.731595952756984E-05,-14.98232297868952
6.731650006013141E-05,-14.98422300541977
6.731727368362395E-05,-14.983275909760716
6.731798438229713E-05,-14.983834787064737
6.731867832603644E-05,-14.98352925378537
6.731930908554989E-05,-14.983700967866724
6.731999097693615E-05,-14.983615976141218
6.73206596553515E-05,-14.983667245650961
6.732135151879689E-05,-14.98364509042677
6.732201678080197E-05,-14.98366163515025
6.732272753913495E-05,-14.983656360308672
6.732369066248138E-05,-14.983665141355871
6.732491463948227E-05,-14.983665047161395
6.732663024239449E-05,-14.983672746161723
6.732904434785256E-05,-14.983676119669695
6.733323371977968E-05,-14.983685737937213
6.734161246363394E-05,-14.983695544730987
6.735836995134246E-05,-14.983715576506354
6.73918849267595E-05,-14.983747694978131
6.739293226974127E-05,-14.98374946665253
6.739502695570484E-05,-14.983751857457374
6.739555062719574E-05,-14.983751670062727
6.739659797017751E-05,-14.983753732198888
6.739869265614108E-05,-14.983755460811969
6.740065716913969E-05,-14.983746110160084
6.740089043346181E-05,-14.983743854422228
6.740135696210605E-05,-14.98373861480455
6.74014735942671E-05,-14.98373653055718
6.740170685858923E-05,-14.983735122781528
6.740217338723346E-05,-14.981831975354499
6.740229001939452E-05,-14.976859029303302
6.740252328371664E-05,-14.972808522431567
6.740298981236087E-05,-14.980964377214233
6.740347184759771E-05,-14.98477491733857
6.74038984399127E-05,-14.983252602447042
6.74043849607199E-05,-14.983833347119155
6.740506829573159E-05,-14.983571899999623
6.740583246624456E-05,-14.983724769750314
6.740652890635503E-05,-14.983642508146765
6.740718258181051E-05,-14.983691613930102
6.740783511467008E-05,-14.983669029355315
6.740851468505677E-05,-14.983684918873008
6.740919608240639E-05,-14.983679666022942
6.740987483022011E-05,-14.983685023599143
6.741054561541063E-05,-14.983686032238271
6.741138285412614E-05,-14.983688054103673
6.741245582518265E-05,-14.983690810962843
6.741391379320385E-05,-14.983693317253735
6.741591331505275E-05,-14.983697583907487
6.741906842773269E-05,-14.983701949836945
6.742485756339426E-05,-14.983710215670893
6.743643583471742E-05,-14.983722601591987
6.745959237736372E-05,-14.98374685950873
6.746538151302529E-05,-14.983752338687488
6.747695978434845E-05,-14.983705906953219
6.74771296862296E-05,-14.98366893387751
6.74774694899919E-05,-14.978764806519768
6.747753065754502E-05,-14.977787781502053
6.747765299265126E-05,-14.976785577179468
6.747789766286375E-05,-14.977276308020633
6.747838700328873E-05,-14.982113474017849
6.747889572285921E-05,-14.984312504128637
6.747933540088233E-05,-14.98339653832216
6.747983555589415E-05,-14.983761691993731
6.748052241499963E-05,-14.983598269924908
6.748128007787468E-05,-14.98369833354652
6.74819745885675E-05,-14.98364922462566
6.748262863772265E-05,-14.98368245633281
6.748328336287395E-05,-14.983670278767914
6.748396251614673E-05,-14.98368138476588
6.748464380978179E-05,-14.983681286666771
6.748532190826667E-05,-14.983684708393962
6.748599313520292E-05,-14.983687912820045
6.748684818155475E-05,-14.983690565780861
6.748793465175204E-05,-14.983694212138925
6.74894257372572E-05,-14.98369924399667
6.749146311050954E-05,-14.983703356417308
6.749473167524548E-05,-14.983710815867362
6.750077050311375E-05,-14.983719759820753
6.751284815885028E-05,-14.98373489598786
6.751586757278441E-05,-14.98373759650462
6.752190640065267E-05,-14.983743955921057
6.752341610761974E-05,-14.983745531737652
6.752643552155387E-05,-14.983748421808901
6.753247434942213E-05,-14.983754679924928
6.75381378992572E-05,-14.983723877454208
6.753881038352083E-05,-14.983717271098268
6.753897850458674E-05,-14.98371463567408
6.753931474671855E-05,-14.980849764839515
6.753990648745534E-05,-14.979363544558538
6.754044617650516E-05,-14.98337994612132
6.754100082348345E-05,-14.983809029885053
6.754144145829129E-05,-14.983624079518908
6.75419662608682E-05,-14.983704212440673
6.754266580702752E-05,-14.983670092240049
6.754341617329895E-05,-14.983696819108657
6.754410472386017E-05,-14.983687914687824
6.754475795524642E-05,-14.983697964171562
6.754541604612515E-05,-14.98369851375958
6.754609568686657E-05,-14.983701921453093
6.754677676485478E-05,-14.983703956567455
6.754745379727823E-05,-14.983707146224404
6.754812536405282E-05,-14.983709448695269
6.754901997955076E-05,-14.98371152657053
6.75501353316416E-05,-14.983715892212519
6.755170033788217E-05,-14.983718667776696
6.755382044239697E-05,-14.983724641043052
6.755735035013462E-05,-14.983730160548992
6.75639700748897E-05,-14.983740514173713
6.756562500607846E-05,-14.983742093908974
6.756893486845599E-05,-14.983746043073019
6.757555459321107E-05,-14.983753277721137
6.75817629405367E-05,-14.983723137845864
6.758250011351296E-05,-14.983715956065778
6.758397445946545E-05,-14.982134674825062
6.758525807518963E-05,-14.983292657308844
6.758639522135274E-05,-14.983966543256207
6.758695563230879E-05,-14.983565867926623
6.758750148443716E-05,-14.983758965003481
6.758808382235642E-05,-14.983673739806218
6.758876492628897E-05,-14.983721991351066
6.758948641177148E-05,-14.983700670754299
6.759017027394836E-05,-14.983717897291069
6.75908345868521E-05,-14.983713122599662
6.759149772412797E-05,-14.983719665164825
6.759217568679985E-05,-14.983720273239447
6.759288920235374E-05,-14.983723363008593
6.759387629443638E-05,-14.98372707443606
6.759509859112976E-05,-14.983729274587064
6.759685385809135E-05,-14.983734997785907
6.75992902464726E-05,-14.983739149877584
6.760363594571338E-05,-14.983747607490372
6.760778835344301E-05,-14.983736048226701
6.760828223895838E-05,-14.983733228790342
6.760927000998911E-05,-14.983051776189727
6.761016285855172E-05,-14.983111670982177
6.761085643859536E-05,-14.983697327478176
6.761163128108692E-05,-14.983729604168804
6.761213611807031E-05,-14.983715013874725
6.761270810603005E-05,-14.983726496350176
6.761341071638956E-05,-14.983724775775292
6.761413612529912E-05,-14.983729695652656
6.761481981539762E-05,-14.983729274639014
6.761554189065441E-05,-14.983730976909008
6.761629774346856E-05,-14.983729520824452
6.761708727343903E-05,-14.983502615667398
6.761830438961338E-05,-14.983535334782722
6.761906512720168E-05,-14.983675592893688
6.761992395144226E-05,-14.983659482503516
6.762105868775311E-05,-14.98372044272941
6.762220266611689E-05,-14.98370832732724
6.76232916826988E-05,-14.98373115923131
6.762431300102069E-05,-14.983720902140153
6.762536668255249E-05,-14.983728492189549
6.762642921025526E-05,-14.983721414764295
6.762750720014311E-05,-14.98372385828338
6.762856550640159E-05,-14.98371793006162
6.762962632005848E-05,-14.983717443945157
6.763067818403802E-05,-14.98371294034041
6.763173171587276E-05,-14.983711649390836
6.763276686160325E-05,-14.98370773385931
6.763377705072638E-05,-14.983706124817543
6.763472458355934E-05,-14.983702893409921
6.763560113300206E-05,-14.983702200089127
6.763648540025451E-05,-14.983699239956234
6.763770389599933E-05,-14.983696238914382
6.76393386558381E-05,-14.983693169203514
6.764155231414272E-05,-14.983688223434322
6.764452236090534E-05,-14.983683136871468
6.764908418312295E-05,-14.983676707372439
6.765719597184484E-05,-14.983669261341536
6.767341954928862E-05,-14.983663403173221
6.770586670417618E-05,-14.983662199520376
6.777076101395129E-05,-14.983662605479973
6.790054963350151E-05,-14.983662310271349
6.816012687260195E-05,-14.983662508982837
6.867928135080284E-05,-14.983662236320637
6.971759030720463E-05,-14.983662368703694
7.153374127164721E-05,-14.98366210908845
7.346247009661818E-05,-14.983662303588872
7.563452336387822E-05,-14.983662120262029
7.813452336387822E-05,-14.983662331457063
8.063452336387822E-05,-14.983662161231427
8.313452336387823E-05,-14.983662368151565
8.563452336387824E-05,-14.983662198040928
8.813452336387824E-05,-14.983662395569487
9.063452336387825E-05,-14.983662224738211
9.313452336387826E-05,-14.983662412790313
9.563452336387826E-05,-14.983662241016729
9.813452336387827E-05,-14.983662419659233
0.00010063452336387828,-14.983662246783814
0.00010313452336387828,-14.983662416117722
0.00010563452336387829,-14.983662242017996
0.0001081345233638783,-14.98366240217336
0.0001106345233638783,-14.983662226762645
0.00011313452336387831,-14.983662377898291
0.00011563452336387832,-14.98366220112542
0.00011813452336387832,-14.983662343428788
0.00012063452336387833,-14.983662165277575
0.00012313452336387834,-14.983662298964358
0.00012563452336387834,-14.983662119452946
0.00012813452336387835,-14.983662244766505
0.00013063452336387835,-14.983662063946527
0.00013313452336387836,-14.983662181157094
0.00013563452336387837,-14.983661999112618
0.00013813452336387837,-14.98366210851638
0.00014063452336387838,-14.98366192536269
0.0001431345233638784,-14.983662027280646
0.0001456345233638784,-14.983661843162848
0.0001481345233638784,-14.983661937939491
0.0001506345233638784,-14.983661753030962
0.00015313452336387841,-14.983661841032815
0.00015563452336387842,-14.983661655533474
0.00015813452336387843,-14.983661737147473
0.00016063452336387843,-14.983661560945528
0.00016313452336387844,-14.983661680501942
0.00016563452336387845,-14.983661537171159
0.00016813452336387845,-14.983661658590302
0.00017063452336387846,-14.98366152101236
0.00017313452336387847,-14.983661639999774
0.00017563452336387847,-14.983661505322313
0.00017813452336387848,-14.983661621555695
0.00018063452336387849,-14.983661488985199
0.0001831345233638785,-14.98366160186393
